Line;Rain;Temperature;RH ;DewPoint;WindSpeed;GustSpeed;WindDirection;#;PLANTA;FRUTO;INCIDENCIA;SEVERIDAD(%)
2955;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;20;PL002;10;0;0
2956;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;21;PL003;1;0;0
2957;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;22;PL003;2;0;0
2958;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;23;PL003;3;0;0
2959;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;24;PL003;4;0;0
2960;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;25;PL003;5;0;0
2961;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;26;PL003;6;0;0
2962;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;27;PL003;7;1;50
2963;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;28;PL003;8;0;0
2964;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;29;PL003;9;0;0
2965;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;30;PL003;10;1;100
2966;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;31;PL004;1;0;0
2967;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;32;PL004;2;0;0
2968;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;33;PL004;3;0;0
2969;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;34;PL004;4;0;0
2970;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;35;PL004;5;1;80
2971;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;36;PL004;6;0;0
2972;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;37;PL004;7;0;0
2973;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;38;PL004;8;0;0
2974;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;39;PL004;9;0;0
2975;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;40;PL004;10;1;100
2976;0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;41;PL005;1;0;0
