Line,Rain,Temperature,RH ,DewPoint,WindSpeed,GustSpeed,WindDirection,#,PLANTA,FRUTO,INCIDENCIA,SEVERIDAD(%)
2990,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,55,6,5,0,0
2991,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,56,6,6,0,0
2992,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,57,6,7,0,0
2993,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,58,6,8,0,0
2994,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,59,6,9,0,0
2995,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,60,6,10,0,0
2996,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,61,7,1,0,0
2997,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,62,7,2,0,0
2998,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,63,7,3,0,0
2999,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,64,7,4,0,0
3000,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,65,7,5,0,0
3001,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,66,7,6,0,0
3002,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,67,7,7,0,0
3003,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,68,7,8,0,0
3004,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,69,7,9,0,0
3005,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,70,7,10,0,0
3006,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,71,8,1,0,0
3007,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,72,8,2,0,0
3008,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,73,8,3,0,0
3009,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,74,8,4,0,0
3010,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,75,8,5,0,0
3011,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,76,8,6,0,0
3012,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,77,8,7,0,0
3013,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,78,8,8,0,0
3014,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,79,8,9,0,0
3015,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,80,8,10,0,0
3016,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,81,9,1,0,0
3017,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,82,9,2,0,0
3018,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,83,9,3,0,0
3019,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,84,9,4,1,100
3020,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,85,9,5,0,0
3021,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,86,9,6,1,75
3022,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,87,9,7,1,30
3023,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,88,9,8,1,100
3024,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,89,9,9,0,0
3025,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,90,9,10,0,0
3026,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,91,10,1,0,0
3027,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,92,10,2,0,0
3028,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,93,10,3,0,0
3029,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,94,10,4,0,0
3030,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,95,10,5,0,0
3031,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,96,10,6,0,0
3032,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,97,10,7,0,0
3033,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,98,10,8,0,0
3034,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,99,10,9,0,0
3035,0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,100,10,10,0,0
